question_num,search_query,url,Question,Options,Correct answer,Image URLs,Comments
11,examtopics databricks data engineer professional certification question 11,https://www.examtopics.com/discussions/databricks/view/117060-exam-certified-data-engineer-professional-topic-1-question/,"The data engineering team has configured a job to process customer requests to be forgotten (have their data deleted). All user data that needs to be deleted is stored in Delta Lake tables using default table settings.The team has decided to process all deletions from the previous week as a batch job at 1am each Sunday. The total duration of this job is less than one hour. Every Monday at 3am, a batch job executes a series of VACUUM commands on all Delta Lake tables throughout the organization.The compliance officer has recently learned about Delta Lake's time travel functionality. They are concerned that this might allow continued access to deleted data.Assuming all delete logic is correctly implemented, which statement correctly addresses this concern?","['A.Because the VACUUM command permanently deletes all files containing deleted records, deleted records may be accessible with time travel for around 24 hours.', 'B.Because the default data retention threshold is 24 hours, data files containing deleted records will be retained until the VACUUM job is run the following day.', 'C.Because Delta Lake time travel provides full access to the entire history of a table, deleted records can always be recreated by users with full admin privileges.', ""D.Because Delta Lake's delete statements have ACID guarantees, deleted records will be permanently purged from all storage systems as soon as a delete job completes."", 'E.Because the default data retention threshold is 7 days, data files containing deleted records will be retained until the VACUUM job is run 8 days later.']","['E.Because the default data retention threshold is 7 days, data files containing deleted records will be retained until the VACUUM job is run 8 days later.']",[],
12,examtopics databricks data engineer professional certification question 12,https://www.examtopics.com/discussions/databricks/view/120855-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer has configured a workload that posts the following JSON to the Databricks REST API endpoint 2.0/jobs/create.Assuming that all configurations and referenced resources are available, which statement describes the result of executing this workload three times?","['A.Three new jobs named ""Ingest new data"" will be defined in the workspace, and they will each run once daily.', 'B.The logic defined in the referenced notebook will be executed three times on new clusters with the configurations of the provided cluster ID.', 'C.Three new jobs named ""Ingest new data"" will be defined in the workspace, but no jobs will be executed.', 'D.One new job named ""Ingest new data"" will be defined in the workspace, but it will not be executed.', 'E.The logic defined in the referenced notebook will be executed three times on the referenced existing all purpose cluster.']","['C.Three new jobs named ""Ingest new data"" will be defined in the workspace, but no jobs will be executed.']",['https://img.examtopics.com/certified-data-engineer-professional/image9.png'],
13,examtopics databricks data engineer professional certification question 13,https://www.examtopics.com/discussions/databricks/view/119187-exam-certified-data-engineer-professional-topic-1-question/,"An upstream system is emitting change data capture (CDC) logs that are being written to a cloud object storage directory. Each record in the log indicates the change type (insert, update, or delete) and the values for each field after the change. The source table has a primary key identified by the field pk_id.For auditing purposes, the data governance team wishes to maintain a full record of all values that have ever been valid in the source system. For analytical purposes, only the most recent value for each record needs to be recorded. The Databricks job to ingest these records occurs once per hour, but each individual record may have changed multiple times over the course of an hour.Which solution meets these requirements?","['A.Create a separate history table for each pk_id resolve the current state of the table by running a union all filtering the history tables for the most recent state.', 'B.Use MERGE INTO to insert, update, or delete the most recent entry for each pk_id into a bronze table, then propagate all changes throughout the system.', ""C.Iterate through an ordered set of changes to the table, applying each in turn; rely on Delta Lake's versioning ability to create an audit log."", ""D.Use Delta Lake's change data feed to automatically process CDC data from an external system, propagating all changes to all dependent tables in the Lakehouse."", 'E.Ingest all log information into a bronze table; use MERGE INTO to insert, update, or delete the most recent entry for each pk_id into a silver table to recreate the current table state.']","['E.Ingest all log information into a bronze table; use MERGE INTO to insert, update, or delete the most recent entry for each pk_id into a silver table to recreate the current table state.']",[],
14,examtopics databricks data engineer professional certification question 14,https://www.examtopics.com/discussions/databricks/view/120174-exam-certified-data-engineer-professional-topic-1-question/,"An hourly batch job is configured to ingest data files from a cloud object storage container where each batch represent all records produced by the source system in a given hour. The batch job to process these records into the Lakehouse is sufficiently delayed to ensure no late-arriving data is missed. The user_id field represents a unique key for the data, which has the following schema: user_id BIGINT, username STRING, user_utc STRING, user_region STRING, last_login BIGINT, auto_pay BOOLEAN, last_updated BIGINTNew records are all ingested into a table named account_history which maintains a full record of all data in the same schema as the source. The next table in the system is named account_current and is implemented as a Type 1 table representing the most recent value for each unique user_id.Assuming there are millions of user accounts and tens of thousands of records processed hourly, which implementation can be used to efficiently update the described account_current table as part of each hourly batch job?","['A.Use Auto Loader to subscribe to new files in the account_history directory; configure a Structured Streaming trigger once job to batch update newly detected files into the account_current table.', 'B.Overwrite the account_current table with each batch using the results of a query against the account_history table grouping by user_id and filtering for the max value of last_updated.', 'C.Filter records in account_history using the last_updated field and the most recent hour processed, as well as the max last_iogin by user_id write a merge statement to update or insert the most recent value for each user_id.', 'D.Use Delta Lake version history to get the difference between the latest version of account_history and one version prior, then write these records to account_current.', 'E.Filter records in account_history using the last_updated field and the most recent hour processed, making sure to deduplicate on username; write a merge statement to update or insert the most recent value for each username.']","['C.Filter records in account_history using the last_updated field and the most recent hour processed, as well as the max last_iogin by user_id write a merge statement to update or insert the most recent value for each user_id.']",[],
15,examtopics databricks data engineer professional certification question 15,https://www.examtopics.com/discussions/databricks/view/119189-exam-certified-data-engineer-professional-topic-1-question/,"A table in the Lakehouse named customer_churn_params is used in churn prediction by the machine learning team. The table contains information about customers derived from a number of upstream sources. Currently, the data engineering team populates this table nightly by overwriting the table with the current valid values derived from upstream data sources.The churn prediction model used by the ML team is fairly stable in production. The team is only interested in making predictions on records that have changed in the past 24 hours.Which approach would simplify the identification of these changed records?","['A.Apply the churn model to all rows in the customer_churn_params table, but implement logic to perform an upsert into the predictions table that ignores rows where predictions have not changed.', 'B.Convert the batch job to a Structured Streaming job using the complete output mode; configure a Structured Streaming job to read from the customer_churn_params table and incrementally predict against the churn model.', 'C.Calculate the difference between the previous model predictions and the current customer_churn_params on a key identifying unique customers before making new predictions; only make predictions on those customers not in the previous predictions.', 'D.Modify the overwrite logic to include a field populated by calling spark.sql.functions.current_timestamp() as data are being written; use this field to identify records written on a particular date.', 'E.Replace the current overwrite logic with a merge statement to modify only those records that have changed; write logic to make predictions on the changed records identified by the change data feed.']",['E.Replace the current overwrite logic with a merge statement to modify only those records that have changed; write logic to make predictions on the changed records identified by the change data feed.'],[],
16,examtopics databricks data engineer professional certification question 16,https://www.examtopics.com/discussions/databricks/view/117078-exam-certified-data-engineer-professional-topic-1-question/,A table is registered with the following code:Both users and orders are Delta Lake tables. Which statement describes the results of querying recent_orders?,"['A.All logic will execute at query time and return the result of joining the valid versions of the source tables at the time the query finishes.', 'B.All logic will execute when the table is defined and store the result of joining tables to the DBFS; this stored data will be returned when the table is queried.', 'C.Results will be computed and cached when the table is defined; these cached results will incrementally update as new records are inserted into source tables.', 'D.All logic will execute at query time and return the result of joining the valid versions of the source tables at the time the query began.', 'E.The versions of each source table will be stored in the table transaction log; query results will be saved to DBFS with each query.']",['B.All logic will execute when the table is defined and store the result of joining tables to the DBFS; this stored data will be returned when the table is queried.'],['https://img.examtopics.com/certified-data-engineer-professional/image10.png'],
17,examtopics databricks data engineer professional certification question 17,https://www.examtopics.com/discussions/databricks/view/119377-exam-certified-data-engineer-professional-topic-1-question/,"A production workload incrementally applies updates from an external Change Data Capture feed to a Delta Lake table as an always-on Structured Stream job. When data was initially migrated for this table, OPTIMIZE was executed and most data files were resized to 1 GB. Auto Optimize and Auto Compaction were both turned on for the streaming production job. Recent review of data files shows that most data files are under 64 MB, although each partition in the table contains at least 1 GB of data and the total table size is over 10 TB.Which of the following likely explains these smaller file sizes?","['A.Databricks has autotuned to a smaller target file size to reduce duration of MERGE operations', 'B.Z-order indices calculated on the table are preventing file compaction', 'C.Bloom filter indices calculated on the table are preventing file compaction', 'D.Databricks has autotuned to a smaller target file size based on the overall size of data in the table', 'E.Databricks has autotuned to a smaller target file size based on the amount of data in each partition']",['A.Databricks has autotuned to a smaller target file size to reduce duration of MERGE operations'],[],
18,examtopics databricks data engineer professional certification question 18,https://www.examtopics.com/discussions/databricks/view/118335-exam-certified-data-engineer-professional-topic-1-question/,Which statement regarding stream-static joins and static Delta tables is correct?,"['A.Each microbatch of a stream-static join will use the most recent version of the static Delta table as of each microbatch.', ""B.Each microbatch of a stream-static join will use the most recent version of the static Delta table as of the job's initialization."", 'C.The checkpoint directory will be used to track state information for the unique keys present in the join.', 'D.Stream-static joins cannot use static Delta tables because of consistency issues.', 'E.The checkpoint directory will be used to track updates to the static Delta table.']",['A.Each microbatch of a stream-static join will use the most recent version of the static Delta table as of each microbatch.'],[],
19,examtopics databricks data engineer professional certification question 19,https://www.examtopics.com/discussions/databricks/view/120176-exam-certified-data-engineer-professional-topic-1-question/,"A junior data engineer has been asked to develop a streaming data pipeline with a grouped aggregation using DataFrame df. The pipeline needs to calculate the average humidity and average temperature for each non-overlapping five-minute interval. Events are recorded once per minute per device.Streaming DataFrame df has the following schema:""device_id INT, event_time TIMESTAMP, temp FLOAT, humidity FLOAT""Code block:Choose the response that correctly fills in the blank within the code block to complete this task.","['A.to_interval(""event_time"", ""5 minutes"").alias(""time"")', 'B.window(""event_time"", ""5 minutes"").alias(""time"")', 'C.""event_time""', 'D.window(""event_time"", ""10 minutes"").alias(""time"")', 'E.lag(""event_time"", ""10 minutes"").alias(""time"")']","['B.window(""event_time"", ""5 minutes"").alias(""time"")']",['https://img.examtopics.com/certified-data-engineer-professional/image11.png'],
20,examtopics databricks data engineer professional certification question 20,https://www.examtopics.com/discussions/databricks/view/119397-exam-certified-data-engineer-professional-topic-1-question/,"A data architect has designed a system in which two Structured Streaming jobs will concurrently write to a single bronze Delta table. Each job is subscribing to a different topic from an Apache Kafka source, but they will write data with the same schema. To keep the directory structure simple, a data engineer has decided to nest a checkpoint directory to be shared by both streams.The proposed directory structure is displayed below:Which statement describes whether this checkpoint directory structure is valid for the given scenario and why?","['A.No; Delta Lake manages streaming checkpoints in the transaction log.', 'B.Yes; both of the streams can share a single checkpoint directory.', 'C.No; only one stream can write to a Delta Lake table.', 'D.Yes; Delta Lake supports infinite concurrent writers.', 'E.No; each of the streams needs to have its own checkpoint directory.']",['E.No; each of the streams needs to have its own checkpoint directory.'],['https://img.examtopics.com/certified-data-engineer-professional/image12.png'],
21,examtopics databricks data engineer professional certification question 21,https://www.examtopics.com/discussions/databricks/view/117090-exam-certified-data-engineer-professional-topic-1-question/,"A Structured Streaming job deployed to production has been experiencing delays during peak hours of the day. At present, during normal execution, each microbatch of data is processed in less than 3 seconds. During peak hours of the day, execution time for each microbatch becomes very inconsistent, sometimes exceeding 30 seconds. The streaming write is currently configured with a trigger interval of 10 seconds.Holding all other variables constant and assuming records need to be processed in less than 10 seconds, which adjustment will meet the requirement?","['A.Decrease the trigger interval to 5 seconds; triggering batches more frequently allows idle executors to begin processing the next batch while longer running tasks from previous batches finish.', 'B.Increase the trigger interval to 30 seconds; setting the trigger interval near the maximum execution time observed for each batch is always best practice to ensure no records are dropped.', 'C.The trigger interval cannot be modified without modifying the checkpoint directory; to maintain the current stream state, increase the number of shuffle partitions to maximize parallelism.', 'D.Use the trigger once option and configure a Databricks job to execute the query every 10 seconds; this ensures all backlogged records are processed with each batch.', 'E.Decrease the trigger interval to 5 seconds; triggering batches more frequently may prevent records from backing up and large batches from causing spill.']",['E.Decrease the trigger interval to 5 seconds; triggering batches more frequently may prevent records from backing up and large batches from causing spill.'],[],
22,examtopics databricks data engineer professional certification question 22,https://www.examtopics.com/discussions/databricks/view/117466-exam-certified-data-engineer-professional-topic-1-question/,Which statement describes Delta Lake Auto Compaction?,"['A.An asynchronous job runs after the write completes to detect if files could be further compacted; if yes, an OPTIMIZE job is executed toward a default of 1 GB.', 'B.Before a Jobs cluster terminates, OPTIMIZE is executed on all tables modified during the most recent job.', 'C.Optimized writes use logical partitions instead of directory partitions; because partition boundaries are only represented in metadata, fewer small files are written.', 'D.Data is queued in a messaging bus instead of committing data directly to memory; all data is committed from the messaging bus in one batch once the job is complete.', 'E.An asynchronous job runs after the write completes to detect if files could be further compacted; if yes, an OPTIMIZE job is executed toward a default of 128 MB.']","['E.An asynchronous job runs after the write completes to detect if files could be further compacted; if yes, an OPTIMIZE job is executed toward a default of 128 MB.']",[],
23,examtopics databricks data engineer professional certification question 23,https://www.examtopics.com/discussions/databricks/view/117468-exam-certified-data-engineer-professional-topic-1-question/,Which statement characterizes the general programming model used by Spark Structured Streaming?,"['A.Structured Streaming leverages the parallel processing of GPUs to achieve highly parallel data throughput.', 'B.Structured Streaming is implemented as a messaging bus and is derived from Apache Kafka.', 'C.Structured Streaming uses specialized hardware and I/O streams to achieve sub-second latency for data transfer.', 'D.Structured Streaming models new data arriving in a data stream as new rows appended to an unbounded table.', 'E.Structured Streaming relies on a distributed network of nodes that hold incremental state values for cached stages.']",['D.Structured Streaming models new data arriving in a data stream as new rows appended to an unbounded table.'],[],
24,examtopics databricks data engineer professional certification question 24,https://www.examtopics.com/discussions/databricks/view/117469-exam-certified-data-engineer-professional-topic-1-question/,Which configuration parameter directly affects the size of a spark-partition upon ingestion of data into Spark?,"['A.spark.sql.files.maxPartitionBytes', 'B.spark.sql.autoBroadcastJoinThreshold', 'C.spark.sql.files.openCostInBytes', 'D.spark.sql.adaptive.coalescePartitions.minPartitionNum', 'E.spark.sql.adaptive.advisoryPartitionSizeInBytes']",['A.spark.sql.files.maxPartitionBytes'],[],
25,examtopics databricks data engineer professional certification question 25,https://www.examtopics.com/discussions/databricks/view/121108-exam-certified-data-engineer-professional-topic-1-question/,"A Spark job is taking longer than expected. Using the Spark UI, a data engineer notes that the Min, Median, and Max Durations for tasks in a particular stage show the minimum and median time to complete a task as roughly the same, but the max duration for a task to be roughly 100 times as long as the minimum.Which situation is causing increased duration of the overall job?","['A.Task queueing resulting from improper thread pool assignment.', 'B.Spill resulting from attached volume storage being too small.', 'C.Network latency due to some cluster nodes being in different regions from the source data', 'D.Skew caused by more data being assigned to a subset of spark-partitions.', 'E.Credential validation errors while pulling data from an external system.']",['D.Skew caused by more data being assigned to a subset of spark-partitions.'],[],
